outfit_id,product_id,outfit_item_type,brand,product_full_name
01DT7T5TMJMAEAG3RHRRT8G4KP,01DPCWRYQMHRAG7NJ3Q5JJMT42,shoe,J.Crew,Lucie suede pumps
01DT7T5TMJMAEAG3RHRRT8G4KP,01DT510Q6H4KSH0W4D4BMA0DDG,bottom,Vince,Crepe wide-leg pants
01DT7T5TMJMAEAG3RHRRT8G4KP,01DT511AMZP6W93RYE6CX0TQWX,accessory1,James Perse,Cotton-voile shirt
01DT7T5TMJMAEAG3RHRRT8G4KP,01DT516BRMMMQV5HC7F9TD152S,top,Skin,Tara draped washed stretch-silk satin camisole
01DT7T5TMJMAEAG3RHRRT8G4KP,01DT518SZZ6JSWHA8JXS1ZFBW1,accessory2,Veronica Beard,Elektra Prince of Wales checked cotton-blend blazer
01DT80W53PH93G55YSSE3BXTTR,01DT0DJ6GQNF86VZ1EAP047SVC,accessory1,Manu Atelier,Demi Leather Dome Top Handle Bag
01DT80W53PH93G55YSSE3BXTTR,01DT0DJXJGD4MB9SFV7CFATRVB,accessory2,Eileen Fisher,Velvet Open-Front Shawl
01DT80W53PH93G55YSSE3BXTTR,01DT0DK06B7TM3KRBZBWN37ZS9,bottom,Frame,Le Mini Corduroy Skirt
01DT80W53PH93G55YSSE3BXTTR,01DT0DKAN5TYAHACNS2HV919ZW,shoe,Alice + Olivia,Maven Tall Suede Boots
01DT80W53PH93G55YSSE3BXTTR,01DT0DM5A4QD09MG77J4SXYY0Q,top,Sea,Pascale Printed Peasant Top
01DTAKPB2N39VG74J84GZJ1AD7,01DS3VD1HQH8FYH38MG1ENS01T,accessory2,Vince,Carpenteria Plaid Full Sleeve Shirt
01DTAKPB2N39VG74J84GZJ1AD7,01DT0DHSDTQ34YYDQZ856T6WP9,bottom,MOTHER,Dazzler Distressed Slim Ankle Jeans
01DTAKPB2N39VG74J84GZJ1AD7,01DT0DJMGB47PSW7H695CJHXNT,top,RE/DONE,You're Cute Classic Cotton Tee
01DTAKPB2N39VG74J84GZJ1AD7,01DT0DK6CQR76QRB678C4998NA,shoe,Givenchy,Urban Street Low-Top Leather Sneakers
01DTAKPB2N39VG74J84GZJ1AD7,01DT8NCT6C6734WAWTYZX94SE8,accessory1,Wandler,Mia Printed Leather Shoulder Bag
01DTJ1ZN6TVBMK0YN1FPF2NW66,01DPCDEF6SYX2E1NT5X7HJBFGY,accessory2,J.Crew,Ribbed scarf in everyday cashmere
01DTJ1ZN6TVBMK0YN1FPF2NW66,01DT0DJCFRF3P8N1KVNJX771GG,accessory1,Nanushka,Tao Vegan Leather Puffer Belt Bag
01DTJ1ZN6TVBMK0YN1FPF2NW66,01DT0DJRS5AQ5BQBJ1105H0ATS,shoe,Cole Haan,Harlyn Snake-Embossed Leather Booties
01DTJ1ZN6TVBMK0YN1FPF2NW66,01DT2D3F2NAE46MWDPFXYM57KJ,top,I Love Mr. Mittens,The Cardigan Wool Sweater
01DTJ1ZN6TVBMK0YN1FPF2NW66,01DTASNVCZQD122G9B5THFJSR2,bottom,Anemone,Ramie Mini Slip Dress
01DTJ2FW3HZEVW2N8DJN056F62,01DTATE20BG80Z0SABYDKDCK3B,shoe,Prada,Glossed Textured-Leather Pumps
01DTJ2FW3HZEVW2N8DJN056F62,01DTATGG2XJ7QTQC6A4PHQRYW5,top,Alexis,Calixte Pussy-Bow Chiffon Top
01DTJ2FW3HZEVW2N8DJN056F62,01DTATGN3YQGYEPCXAD0E207TP,bottom,Khaite,Vanessa High-Rise Straight-Leg Jeans
01DTJFYAQVT8CZB5PN17ZHVFMX,01DT37DB8DBY9KWTDGDFDF63NC,shoe,Isabel Marant,Lashby Leather Ankle Boots
01DTJFYAQVT8CZB5PN17ZHVFMX,01DTATGN3YQGYEPCXAD0E207TP,bottom,Khaite,Vanessa High-Rise Straight-Leg Jeans
01DTJFYAQVT8CZB5PN17ZHVFMX,01DTJ8F30NPDVH99C4ES7K4PWQ,accessory1,Nili Lotan,Benning Trench Coat
01DTJFYAQVT8CZB5PN17ZHVFMX,01DTJ8FCK9VKNBN5P453DA5DFP,accessory2,Wandler,Corsa Tote
01DTJFYAQVT8CZB5PN17ZHVFMX,01DTJCEEPSEHH29G98KNDG4TFK,top,St. Agni,Copain Linen T-Shirt
01DTJH6G4BGSJD4K5SHJ52DQM5,01DPH19482XDP8RNN9NCWV0JR3,shoe,J.Crew,Laney slingback pumps in wool with leather cap toe
01DTJH6G4BGSJD4K5SHJ52DQM5,01DSZSEGP1D27KKZ39J8SG3C35,accessory2,COACH,Metropolitan Leather Briefcase
01DTJH6G4BGSJD4K5SHJ52DQM5,01DT0DHQ0F6M3HE1WF7FYBGJ6E,bottom,Donna Karan New York,Belted Midi Skirt
01DTJH6G4BGSJD4K5SHJ52DQM5,01DTJ8CYK1A02TKT0MC1FVRWMM,accessory1,Proenza Schouler,Wrap Jacket
01DTJH6G4BGSJD4K5SHJ52DQM5,01DTJ8FHC9A0WKQ9Z30G3CS8GZ,top,Ellery,Hopper Cowl Neck Top
01DTMJQCCC0KAHQAMF7YQ165J7,01DT510DE57VSHKRK6HXQBT0DP,accessory2,Solace London,Mirella oversized checked woven blazer
01DTMJQCCC0KAHQAMF7YQ165J7,01DT512PKX25MV3A47WJSW94CD,bottom,MICHAEL Michael Kors,Cropped linen tapered pants
01DTMJQCCC0KAHQAMF7YQ165J7,01DT514P25Z2H1MGXS7MY2H9WB,top,Cefinn,Riley pleated voile turtleneck blouse
01DTMJQCCC0KAHQAMF7YQ165J7,01DT519Q6FWR89D0FSWVS6Y09C,shoe,STAUD,Carine faille mules
01DTMJQCCC0KAHQAMF7YQ165J7,01DTJAZ3J5GNXMQ718T46ERBAX,accessory1,See By Chloé,Tony textured-leather bucket bag
01DTMJZJ9BRHTAY6GQJ5BZMPFS,01DPGV52E2XTG7PPG8N0PV5K05,top,Frame,Pleated Clean Collar Shirt
01DTMJZJ9BRHTAY6GQJ5BZMPFS,01DT0C8PD04G034C1C04BNRX7T,accessory1,J.Crew,Devon camera bag in croc-embossed leather
01DTMJZJ9BRHTAY6GQJ5BZMPFS,01DT5147G9J5P7HN92TPBV2CG7,shoe,Alexandre Birman,Kittie leather ankle boots
01DTMJZJ9BRHTAY6GQJ5BZMPFS,01DTJ8DDAG7F7XX0BBAC8AK3YD,accessory2,Veronica Beard,Theron Tweed Jacket
01DTMJZJ9BRHTAY6GQJ5BZMPFS,01DTJ8G03TEWRES24T1R04W8R3,bottom,Khaite,Wendall Cropped Wide-Leg Jeans
01DTMKD9RNNR2TYMNC7J2VVNNW,01DT51AATB6TJDA52FSD48YT2Y,accessory2,Allude,Draped wool cardigan
01DTMKD9RNNR2TYMNC7J2VVNNW,01DT8NBXPWVPW48VYJTBV2M8MC,top,Goldsign,The Bound Sleeve T-Shirt
01DTMKD9RNNR2TYMNC7J2VVNNW,01DT8NCZ5QVTKC21F495J1WKPJ,bottom,Citizens of Humanity,Eva Cropped High-Rise Wide-Leg Jeans
01DTMKD9RNNR2TYMNC7J2VVNNW,01DTJ8BNRJCMD36E0NY19MKZD3,accessory1,Manu Atelier,Pristine Mini Two-Tone Leather Shoulder Bag
01DTMKD9RNNR2TYMNC7J2VVNNW,01DTJ8BWWDE8MAN8P91395TGQ4,shoe,Loeffler Randall,Celeste Knotted Sandals
01DTMKK00ECND2DG26NAWZ8H0M,01DSRSF2EYG3KSXBJP45QG6DJ1,accessory1,Herschel Supply Co.,Studio Dawson XL Backpack
01DTMKK00ECND2DG26NAWZ8H0M,01DT0DMA6N86E03R4HBKS2EZET,shoe,Converse,Chuck Taylor All Star Low-Top Sneakers
01DTMKK00ECND2DG26NAWZ8H0M,01DT8NBRSZ7HY1YCMA5CK2V7RW,accessory2,Madeleine Thompson,Danny Wool And Cashmere-Blend Cardigan
01DTMKK00ECND2DG26NAWZ8H0M,01DTASPFSY8Q446Q3TJK5CGQVH,bottom,Nobody Denim,Milla Jean Long
01DTMKK00ECND2DG26NAWZ8H0M,01DTJCD2QG8RKQ4HJKT4GBW888,top,Khaite,Viola Cashmere Sweater
01DTMKPS5MKJG8GX44W5Q56PCD,01DT0DKKBJZDQ078WHZHHDNG43,top,Cami NYC,Sweetheart Charmeuse Silk Camisole
01DTMKPS5MKJG8GX44W5Q56PCD,01DT8ND94P4AMW1637MCRDRFBM,bottom,Nobody Denim,Francoise High-Rise Wide-Leg Jeans
01DTMKPS5MKJG8GX44W5Q56PCD,01DTJ8D8MEPA417HP3XT1BAYH6,shoe,Aeyde,Bea Calf Leather Boots
01DTMKPS5MKJG8GX44W5Q56PCD,01DTJ8EB30824VJ8CH9G66DYGC,accessory1,Anna October,Kelly Wool-Blend Cardigan Sweater
01DTMKPS5MKJG8GX44W5Q56PCD,01DTJB97JZQY40PA00HY611FA6,accessory2,Wolford,Mantella Virgin Wool Poncho Cardigan
01DTMWVXTF8F3JMFF326KV3YQG,01DT2D39AP6T64ZA88WEPQ1C3K,accessory1,BY FAR,Miranda Croc-Effect Leather Shoulder Bag
01DTMWVXTF8F3JMFF326KV3YQG,01DT51AFKN7GGVG7EFW0ZGF3PE,accessory2,LE 17 SEPTEMBRE,Ribbed-knit wrap cardigan
01DTMWVXTF8F3JMFF326KV3YQG,01DT8ND4QVV25CDSARCDFCWZ11,bottom,Equipment,Alloisa Belted Striped Crepe Slim-Leg Pants
01DTMWVXTF8F3JMFF326KV3YQG,01DTJBEY26533CKXMXH26MN2SH,top,Brunello Cucinelli,Metallic Wool-Blend Turtleneck
01DTMWVXTF8F3JMFF326KV3YQG,01DTJBR06HEYC2WWGJX1RKBZA4,shoe,Vince,Meta Snakeskin-Embossed Leather Ankle Boots
01DTMX1CMK8GV4AQDGS5S07CTZ,01DT2D3BN9K4SEH71MPB7WD5WA,accessory2,Vince,Oversized Twill Blazer
01DTMX1CMK8GV4AQDGS5S07CTZ,01DT2D3CE9PPPBBW8NYCZXMF6P,accessory1,Danse Lente,Phoebe Bis Two-Tone Croc-Effect Leather Bag
01DTMX1CMK8GV4AQDGS5S07CTZ,01DTJ8C7EK8SBRP5BH7Y0SYJSZ,shoe,ATP Atelier,Maida Leather Sandals
01DTMX1CMK8GV4AQDGS5S07CTZ,01DTJ8CG3XYDKGWA2BW1MS3FA1,top,Zimmermann,Printed Ramie Shirt
01DTMX1CMK8GV4AQDGS5S07CTZ,01DTJ8EFK5B8NXBGFW83MXF8NY,bottom,Vince,Brushed-Twill Wide-Leg Pants
01DTMX8MFMGX77T3058VFRV17R,01DPCDEF6SYX2E1NT5X7HJBFGY,accessory2,J.Crew,Ribbed scarf in everyday cashmere
01DTMX8MFMGX77T3058VFRV17R,01DT50Y8ZF07AGZBBMQER9MB9X,shoe,BY FAR,Lauren snake-effect leather slingback pumps
01DTMX8MFMGX77T3058VFRV17R,01DT51A0Z8SMDEH3X650EF33T0,top,LOW CLASSIC,Draped satin wrap dress
01DTMX8MFMGX77T3058VFRV17R,01DTJ8F30NPDVH99C4ES7K4PWQ,bottom,Nili Lotan,Benning Trench Coat
01DTMX8MFMGX77T3058VFRV17R,01DTJ8FCK9VKNBN5P453DA5DFP,accessory1,Wandler,Corsa Tote
01DTMXEHJJ0Z7W53VVZ7SBP50X,01DT50ZMXWFT4M2HF8GXT7RT74,bottom,Envelope1976,London belted wool jacket
01DTMXEHJJ0Z7W53VVZ7SBP50X,01DT5115RBN8HSGXHM1S9N5DQ0,shoe,Wandler,Isa leather ankle boots
01DTMXEHJJ0Z7W53VVZ7SBP50X,01DT512HSHQXZBHR8C2D3RCXFJ,accessory1,Wandler,Yara leather shoulder bag
01DTMXEHJJ0Z7W53VVZ7SBP50X,01DTJ8G50MTEAZ269BY9PDK0MC,top,G. Label,Julian Workwear Jumpsuit
01DTMZ8TVZ09PH1DX914FPS898,01DT5103JNEQ7RYCZV1C03NBE4,shoe,Loewe,Lazo mini leather tote
01DTMZ8TVZ09PH1DX914FPS898,01DT510W1X0TE6WW8KKJV6F8A5,accessory1,Mercedes Castillo,Natti paneled snake-effect and smooth leather mules
01DTMZ8TVZ09PH1DX914FPS898,01DTJ8BQZJE4V5M6R7EWP63FWQ,top,Alex Mill,Military Shirt Dress
01DTMZ8TVZ09PH1DX914FPS898,01DTJAZ7F9DRFPNF8W1H7SFT20,bottom,Joseph,Draped merino wool turtleneck wrap
01DTMZE28PH8QJNEHFV64Q93VE,01DPEEZGRJYX4N4WE78GPM0B2G,shoe,J.Crew,Sadie boots in suede
01DTMZE28PH8QJNEHFV64Q93VE,01DS44MT6XDH3DDGJ80TQ6AJ2G,accessory2,Aleksandre Akhalkatsishvili,Asymmetric Cotton Trench  Coat
01DTMZE28PH8QJNEHFV64Q93VE,01DT513EZW6ARHQ45WGJS30K19,top,Akris,Ribbed cashmere and mulberry silk-blend turtleneck sweater
01DTMZE28PH8QJNEHFV64Q93VE,01DTJ8D3BJGD1B6EKP9Y4QYPWT,bottom,Nanushka,Mahali Dress
01DTMZE28PH8QJNEHFV64Q93VE,01DTJ8DQ5SQYBS5HX6TDH2BSJP,accessory1,Hunting Season,Leather-Paneled Raffia Shoulder Bag
